Structure,Date and Time,Headwater (ft-NAVD88),Tailwater (ft-NAVD88),Gates,Gate1 (ft),Gate2 (ft),Max MAGO,Gate3 (ft),Gate4 (ft),Gate5 (ft),Gate6 (ft)
S40,2026-04-25 05:04:16,6.95,1.17,2,0.0,0.0,0.0,,,,
S41,2026-04-25 05:02:15,6.99,0.99,2,0.0,0.0,0.0,,,,
S59,2026-04-25 05:01:15,54.75,51.72,1,0.0,,0.0,,,,
S60,2026-04-25 05:02:16,61.87,59.38,1,0.1,,0.1,,,,
S61,2026-04-25 05:00:15,51.71,48.55,1,0.0,,0.0,,,,
S62,2026-04-25 05:03:18,58.86,54.69,1,0.0,,0.0,,,,
S63,2026-04-25 05:01:15,59.39,55.42,1,0.1,,0.098,,,,
S63A,2026-04-25 05:02:15,55.45,48.5,2,0.0,0.0,0.0,,,,
S65,2026-04-25 05:00:17,48.38,45.26,5,0.3,0.2,0.406,0.3,0.3,0.4,
S65A,2026-04-25 05:01:16,45.23,36.34,3,0.3,0.3,0.31,0.3,,,
S65D,2026-04-25 05:01:17,24.6,19.78,4,0.0,0.0,0.0,0.0,0.0,,
S65DX1,2026-04-25 05:00:18,24.57,20.23,4,1.2,1.2,1.225,1.2,1.2,,
S65DX2,2026-04-25 05:01:17,24.6,19.78,2,0.0,0.0,0.0,,,,
S65E,2026-04-25 05:02:18,19.78,10.46,6,0.1,0.1,0.166,0.2,0.0,0.0,0.1
S65EX1,2026-04-25 05:02:18,19.78,10.46,3,0.0,0.0,0.0,0.0,,,
S67,2026-04-25 05:04:16,36.94,32.49,2,0.0,0.0,0.0,,,,
S67X,2026-04-25 05:04:16,36.94,32.49,4,0.0,0.0,0.0,0.0,0.0,,
S68,2026-04-25 05:06:15,36.81,30.6,3,0.0,0.0,0.0,0.0,,,
S68X,2026-04-25 05:06:15,36.81,30.6,1,1.0,,0.982,,,,
S70,2026-04-25 05:03:16,24.65,18.66,2,0.0,0.0,0.0,,,,
S71,2026-04-25 05:04:16,18.65,10.36,3,0.0,0.0,0.0,0.0,,,
S72,2026-04-25 05:05:16,19.46,10.95,2,0.0,0.0,0.0,,,,
S75,2026-04-25 05:06:15,24.62,19.5,1,0.2,,0.2,,,,
S82,2026-04-25 05:07:12,30.6,24.65,2,0.0,0.0,0.0,,,,
S83,2026-04-25 04:38:15,30.6,23.13,1,0.0,,0.0,,,,
S83X,2026-04-25 04:38:15,30.6,23.13,1,0.3,,0.301,,,,
S84,2026-04-25 05:07:15,23.06,10.59,2,0.0,0.0,0.0,,,,
S84X,2026-04-25 05:07:15,23.06,10.59,1,0.0,,0.0,,,,
S97,2026-04-25 05:06:16,21.38,6.53,2,0.0,0.0,0.0,,,,
S153,2026-04-25 05:05:16,17.74,12.52,2,0.0,0.0,0.0,,,,
S191,2026-04-25 05:03:17,17.93,10.54,3,0.0,0.0,0.0,0.0,,,
S351,2026-04-25 05:00:19,8.77,10.39,3,0.4,0.4,0.934,0.9,,,
S352,2026-04-25 05:01:11,10.39,8.57,2,0.5,0.0,0.521,,,,
S354,2026-04-25 05:02:18,9.39,10.37,2,1.9,2.0,1.979,,,,
